customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST_1001,58.0,Male,East,Post-Graduate,Salaried,,126423.9865107793,Business,708.39291943063,1,58,67.4593616292889,2022-07-08,0
CUST_1002,48.0,Male,South,Post-Graduate,Salaried,988149.9229619774,50026.94041528054,Business,675.2273487120523,0,73,69.98104337928545,2018-10-19,0
CUST_1003,34.0,Female,West,Secondary,Salaried,390455.7723978552,193131.38256088903,Other,689.4922852244871,1,44,51.5845415173921,2020-08-26,0
CUST_1004,62.0,Male,South,Secondary,Salaried,1173082.490256681,59596.99847225044,Education,502.35362917406707,1,81,42.54967749478745,2022-01-27,0
CUST_1005,27.0,Female,North,Graduate,Self-Employed,1382992.8230155832,114639.62198195595,Home,618.3347503917869,0,111,28.876985997764137,2023-01-17,0
CUST_1006,,Female,North,Graduate,Salaried,2896855.838281858,295500.4851186646,Education,759.3818245025666,0,59,80.0932399880759,2018-04-07,0
CUST_1007,,Female,North,Secondary,Salaried,2252848.5611408693,62948.16093176536,Car,642.3178075744518,4,26,61.70975395519269,2021-01-23,0
CUST_1008,38.0,Male,North,Post-Graduate,Self-Employed,275825.2951902528,415691.11284295726,Education,548.2164212300812,2,50,47.76993666828707,2018-03-15,1
CUST_1009,42.0,Female,South,Secondary,Self-Employed,312833.1581573379,50765.44743927921,Business,641.071813532568,1,51,90.23965207040197,2021-09-21,0
CUST_1010,30.0,Male,West,Secondary,Salaried,301808.2501337859,106691.2346182991,Home,588.31860653078,1,10,14.066299063098299,2020-12-27,0
CUST_1011,30.0,Female,West,Graduate,Salaried,1322109.5570920664,320111.36926222086,Education,,0,72,82.26461534242904,2020-01-28,0
CUST_1012,,Female,East,Graduate,Salaried,731081.1942673516,126038.47902394994,Home,651.6436303110172,0,38,94.79452040040765,2023-04-26,0
CUST_1013,55.0,Male,South,Graduate,Self-Employed,282498.8131251519,71493.0765487587,Home,693.4637331265833,3,82,85.39007942504372,2018-07-27,1
CUST_1014,59.0,Female,North,Primary,Unemployed,490198.097444936,139330.53351296159,Car,552.566109858791,0,19,78.88710977732815,2021-05-29,0
CUST_1015,43.0,Female,South,Post-Graduate,Self-Employed,677643.1677739809,113049.9276977512,Car,614.1026745067921,2,40,41.816009439537595,2021-07-09,0
CUST_1016,22.0,Male,East,Secondary,Salaried,243577.01266682867,419935.2274274058,Business,737.2347473119287,1,20,29.66170549229495,2019-02-14,0
CUST_1017,41.0,Male,East,Secondary,Self-Employed,1270302.7201711365,125185.50905876796,Other,541.6575956451615,2,74,72.4622942424661,2020-02-10,0
