Date,Product_Category,Quantity,Unit_Price,Total_Revenue,Customer_Age,Payment_Method,Region
2025-01-01 00:00:00,Clothing,8,58.6,468.8,53.0,Credit Card,South
2025-01-01 01:00:00,Beauty,3,206.73,620.19,51.0,Credit Card,East
2025-01-01 02:00:00,Home & Kitchen,8,402.03,3216.24,46.0,Credit Card,North
2025-01-01 03:00:00,Home & Kitchen,5,109.98,549.9,41.0,Credit Card,South
2025-01-01 04:00:00,Electronics,1,281.99,281.99,41.0,PayPal,West
2025-01-01 05:00:00,Electronics,7,369.2,2584.4,59.0,Credit Card,West
2025-01-01 06:00:00,Electronics,5,311.83,1559.15,21.0,Credit Card,West
2025-01-01 07:00:00,Books,6,102.13,612.78,20.0,Cash,East
2025-01-01 08:00:00,Home & Kitchen,6,184.14,1104.84,51.0,Credit Card,South
2025-01-01 09:00:00,Home & Kitchen,8,394.06,3152.48,66.0,Credit Card,South
2025-01-01 10:00:00,Electronics,9,281.57,2534.13,40.0,Credit Card,North
2025-01-01 11:00:00,Beauty,2,12.56,25.12,69.0,Debit Card,North
2025-01-01 12:00:00,Books,9,382.89,3446.01,40.0,Credit Card,North
2025-01-01 13:00:00,Electronics,9,27.3,245.7,62.0,Cash,South
2025-01-01 14:00:00,Electronics,7,375.41,2627.87,22.0,Cash,North
2025-01-01 15:00:00,Electronics,1,109.22,109.22,48.0,Credit Card,South
2025-01-01 16:00:00,Clothing,7,479.46,3356.22,58.0,Debit Card,South
2025-01-01 17:00:00,Clothing,5,190.29,951.45,23.0,Credit Card,West
2025-01-01 18:00:00,Clothing,6,170.2,1021.2,54.0,Credit Card,North
2025-01-01 19:00:00,Electronics,7,82.96,580.72,27.0,Cash,West
2025-01-01 20:00:00,Home & Kitchen,5,159.75,798.75,57.0,Cash,East
2025-01-01 21:00:00,Electronics,7,439.56,3076.92,24.0,PayPal,East
2025-01-01 22:00:00,Electronics,9,498.2,4483.8,56.0,Credit Card,East
2025-01-01 23:00:00,Clothing,3,190.47,571.41,55.0,PayPal,South
2025-01-02 00:00:00,Clothing,8,229.82,1838.56,38.0,Cash,South
2025-01-02 01:00:00,Books,2,363.81,,37.0,Credit Card,South
2025-01-02 02:00:00,Electronics,7,444.24,3109.68,20.0,Credit Card,North
2025-01-02 03:00:00,Clothing,2,300.59,601.18,68.0,Credit Card,West
2025-01-02 04:00:00,Home & Kitchen,4,201.85,807.4,39.0,Credit Card,South
2025-01-02 05:00:00,Electronics,7,212.18,1485.26,64.0,Cash,West
2025-01-02 06:00:00,Home & Kitchen,3,350.85,1052.55,21.0,PayPal,West
2025-01-02 07:00:00,Electronics,2,,23.16,45.0,Debit Card,West
2025-01-02 08:00:00,Electronics,7,,2195.2,29.0,Credit Card,North
2025-01-02 09:00:00,Beauty,1,,,55.0,Cash,North
2025-01-02 10:00:00,Beauty,8,399.16,3193.28,68.0,Credit Card,East
2025-01-02 11:00:00,Books,3,55.57,166.71,53.0,Credit Card,East
2025-01-02 12:00:00,Clothing,2,298.22,596.44,64.0,Credit Card,West
2025-01-02 13:00:00,Electronics,3,245.68,737.04,58.0,Credit Card,East
2025-01-02 14:00:00,Home & Kitchen,5,324.74,1623.7,22.0,PayPal,West
2025-01-02 15:00:00,Clothing,8,41.78,334.24,30.0,,North
2025-01-02 16:00:00,Electronics,7,294.19,2059.33,40.0,PayPal,North
2025-01-02 17:00:00,Clothing,7,285.13,1995.91,67.0,Credit Card,North
2025-01-02 18:00:00,Electronics,7,284.72,1993.04,47.0,Credit Card,South
2025-01-02 19:00:00,Beauty,8,305.71,2445.68,54.0,Credit Card,West
2025-01-02 20:00:00,Electronics,1,341.47,341.47,42.0,PayPal,North
2025-01-02 21:00:00,Home & Kitchen,4,404.44,1617.76,65.0,Cash,West
2025-01-02 22:00:00,Clothing,6,142.21,853.26,44.0,Debit Card,East
2025-01-02 23:00:00,Clothing,9,414.27,3728.43,68.0,Credit Card,East
2025-01-03 00:00:00,Clothing,2,254.15,508.3,31.0,PayPal,North
2025-01-03 01:00:00,Electronics,1,,47.76,65.0,PayPal,West
2025-01-03 02:00:00,Beauty,2,38.69,77.38,64.0,PayPal,North
2025-01-03 03:00:00,Books,7,173.78,1216.46,53.0,PayPal,East
2025-01-03 04:00:00,Beauty,3,394.6,1183.8,56.0,PayPal,North
2025-01-03 05:00:00,Books,2,356.76,713.52,33.0,PayPal,West
2025-01-03 06:00:00,Home & Kitchen,7,396.42,2774.94,39.0,Credit Card,East
2025-01-03 07:00:00,Beauty,2,263.46,526.92,38.0,Cash,South
2025-01-03 08:00:00,Electronics,3,225.7,677.1,38.0,Credit Card,East
2025-01-03 09:00:00,Electronics,7,82.25,,25.0,PayPal,South
2025-01-03 10:00:00,Electronics,4,170.81,683.24,66.0,PayPal,North
2025-01-03 11:00:00,Clothing,1,,222.67,33.0,PayPal,North
2025-01-03 12:00:00,Clothing,5,,267.05,,Debit Card,West
2025-01-03 13:00:00,Electronics,9,118.1,1062.9,59.0,Cash,South
2025-01-03 14:00:00,Books,8,303.13,2425.04,27.0,Cash,North
2025-01-03 15:00:00,Clothing,9,370.47,3334.23,49.0,PayPal,South
2025-01-03 16:00:00,Electronics,9,,4492.71,51.0,Cash,North
2025-01-03 17:00:00,Clothing,7,467.23,3270.61,26.0,PayPal,East
2025-01-03 18:00:00,Electronics,4,324.86,1299.44,34.0,Cash,North
2025-01-03 19:00:00,Books,5,216.41,1082.05,28.0,PayPal,West
2025-01-03 20:00:00,Electronics,1,321.73,321.73,49.0,Debit Card,East
2025-01-03 21:00:00,Beauty,1,394.97,394.97,27.0,Debit Card,West
2025-01-03 22:00:00,Books,3,67.98,203.94,39.0,Cash,East
2025-01-03 23:00:00,Electronics,8,5000.0,40000.0,34.0,Credit Card,South
2025-01-04 00:00:00,Electronics,2,421.5,843.0,21.0,Credit Card,West
2025-01-04 01:00:00,Books,4,198.08,792.32,65.0,Cash,North
2025-01-04 02:00:00,Home & Kitchen,2,290.22,580.44,69.0,Credit Card,South
2025-01-04 03:00:00,Home & Kitchen,5,298.01,1490.05,64.0,Cash,North
2025-01-04 04:00:00,Books,9,100.39,903.51,42.0,PayPal,East
2025-01-04 05:00:00,Electronics,1,187.5,187.5,38.0,PayPal,East
2025-01-04 06:00:00,Clothing,5,173.91,869.55,54.0,Debit Card,North
2025-01-04 07:00:00,Electronics,9,22.84,205.56,55.0,PayPal,North
2025-01-04 08:00:00,Books,1,21.85,21.85,,PayPal,South
2025-01-04 09:00:00,Home & Kitchen,9,417.53,3757.77,18.0,PayPal,North
2025-01-04 10:00:00,Clothing,8,,1150.4,42.0,Credit Card,West
2025-01-04 11:00:00,Electronics,4,263.86,1055.44,68.0,Cash,West
2025-01-04 12:00:00,Clothing,5,156.38,781.9,53.0,Credit Card,North
2025-01-04 13:00:00,Clothing,5,470.93,2354.65,34.0,Debit Card,West
2025-01-04 14:00:00,Home & Kitchen,6,137.06,822.36,58.0,Cash,North
2025-01-04 15:00:00,Home & Kitchen,7,220.53,1543.71,41.0,Credit Card,South
2025-01-04 16:00:00,Books,8,437.64,3501.12,19.0,Cash,West
2025-01-04 17:00:00,Clothing,8,422.55,3380.4,57.0,PayPal,West
2025-01-04 18:00:00,Electronics,2,101.19,202.38,32.0,Credit Card,North
2025-01-04 19:00:00,Home & Kitchen,9,403.3,3629.7,49.0,Debit Card,West
2025-01-04 20:00:00,Books,7,234.51,1641.57,56.0,Credit Card,East
2025-01-04 21:00:00,Home & Kitchen,4,246.65,986.6,23.0,Credit Card,South
2025-01-04 22:00:00,Books,4,75.41,301.64,18.0,PayPal,South
2025-01-04 23:00:00,Clothing,8,49.49,395.92,64.0,PayPal,West
2025-01-05 00:00:00,Clothing,4,366.69,1466.76,40.0,,West
2025-01-05 01:00:00,Clothing,6,253.27,1519.62,56.0,Cash,East
2025-01-05 02:00:00,Electronics,5,224.06,1120.3,34.0,PayPal,East
2025-01-05 03:00:00,Electronics,3,,1102.38,51.0,PayPal,West
2025-01-05 04:00:00,Electronics,2,385.1,770.2,58.0,Credit Card,West
2025-01-05 05:00:00,Home & Kitchen,9,87.87,790.83,46.0,Credit Card,East
2025-01-05 06:00:00,Clothing,9,309.01,2781.09,26.0,Credit Card,North
2025-01-05 07:00:00,Clothing,1,76.32,76.32,30.0,Credit Card,East
2025-01-05 08:00:00,Beauty,3,378.17,1134.51,23.0,PayPal,North
